uid,difficulty,same_io_shape,n_test
025d127b,Easy,True,1
05269061,Easy,True,1
05f2a901,Easy,True,1
06df4c85,Easy,True,1
08ed6ac7,Easy,True,1
0962bcdd,Easy,True,1
0a938d79,Easy,True,1
0b148d64,Easy,False,1
0d3d703e,Easy,True,1
11852cab,Easy,True,1
1190e5a7,Easy,False,1
137eaa0f,Easy,False,1
150deff5,Easy,True,1
178fcbfb,Easy,True,1
1a07d186,Easy,True,1
1bfc4729,Easy,True,1
1c786137,Easy,False,1
1cf80156,Easy,False,1
1e0a9b12,Easy,True,1
1e32b0e9,Easy,True,1
1f642eb9,Easy,True,1
1f85a75f,Easy,False,1
1f876c06,Easy,True,1
1fad071e,Easy,False,1
2204b7a8,Easy,True,1
2281f1f4,Easy,True,1
228f6490,Easy,True,1
22eb0ac0,Easy,True,1
23581191,Easy,True,1
23b5c85d,Easy,False,1
253bf280,Easy,True,1
25d487eb,Easy,True,1
25ff71a9,Easy,True,2
272f95fa,Easy,True,1
28bf18c6,Easy,False,1
28e73c20,Easy,True,1
29623171,Easy,True,1
29c11459,Easy,True,1
29ec7d0e,Easy,True,1
2dc579da,Easy,False,1
2dee498d,Easy,False,1
31aa019c,Easy,True,1
32597951,Easy,True,1
3618c87e,Easy,True,1
363442ee,Easy,True,1
36fdfd69,Easy,True,1
3906de3d,Easy,True,1
39a8645d,Easy,False,1
39e1d7f9,Easy,True,1
3aa6fb7a,Easy,True,1
3ac3eb23,Easy,True,1
3bdb4ada,Easy,True,1
3eda0437,Easy,True,1
3f7978a0,Easy,False,1
40853293,Easy,True,1
4093f84a,Easy,True,1
41e4d17e,Easy,True,1
4258a5f9,Easy,True,1
4347f46a,Easy,True,1
444801d8,Easy,True,1
445eab21,Easy,False,1
44d8ac46,Easy,True,1
44f52bb0,Easy,False,2
4522001f,Easy,False,1
4612dd53,Easy,True,1
48d8fb45,Easy,False,1
496994bd,Easy,True,1
4c4377d9,Easy,False,1
4c5c2cf0,Easy,True,1
508bd3b6,Easy,True,1
50cb2852,Easy,True,1
5117e062,Easy,False,1
5168d44c,Easy,True,1
53b68214,Easy,False,2
54d82841,Easy,True,1
54d9e175,Easy,True,1
5521c0d9,Easy,True,1
5582e5ca,Easy,True,1
5614dbcf,Easy,False,1
56dc2b01,Easy,True,1
56ff96f3,Easy,True,1
5ad4f10b,Easy,False,1
5bd6f4ac,Easy,False,1
5c0a986e,Easy,True,1
60b61512,Easy,True,1
6150a2bd,Easy,True,1
623ea044,Easy,True,1
6455b5f5,Easy,True,1
662c240a,Easy,False,1
67385a82,Easy,True,1
673ef223,Easy,True,1
67a3c6ac,Easy,True,1
67a423a3,Easy,True,1
67e8384a,Easy,False,1
681b3aeb,Easy,False,1
6855a6e4,Easy,True,1
68b16354,Easy,True,1
694f12f3,Easy,True,1
6a1e5592,Easy,True,1
6aa20dc0,Easy,True,1
6b9890af,Easy,False,1
6c434453,Easy,True,1
6cdd2623,Easy,True,1
6cf79266,Easy,True,1
6d0aefbc,Easy,False,1
6d58a25d,Easy,True,1
6d75e8bb,Easy,True,1
6e02f1e3,Easy,True,1
6e19193c,Easy,True,1
6f8cd79b,Easy,True,1
6fa7a44f,Easy,False,1
72ca375d,Easy,False,1
7447852a,Easy,True,1
746b3537,Easy,False,1
74dd1130,Easy,True,1
776ffc46,Easy,True,1
780d0b14,Easy,False,1
794b24be,Easy,True,2
7b6016b9,Easy,True,1
7ddcd7ec,Easy,True,1
7e0986d6,Easy,True,1
7f4411dc,Easy,True,1
810b9b61,Easy,True,1
83302e8f,Easy,True,1
8403a5d5,Easy,True,1
846bdb03,Easy,False,1
855e0971,Easy,True,1
85c4e7cd,Easy,True,1
868de0fa,Easy,True,1
88a10436,Easy,True,1
8a004b2b,Easy,False,1
8be77c9e,Easy,False,1
8d5021e8,Easy,False,1
8e1813be,Easy,False,1
8eb1be9a,Easy,True,1
90c28cc7,Easy,False,1
90f3ed37,Easy,True,1
913fb3ed,Easy,True,1
91714a58,Easy,True,1
9172f3a0,Easy,False,1
928ad970,Easy,True,1
93b581b8,Easy,True,1
941d9a10,Easy,True,1
952a094c,Easy,True,1
95990924,Easy,True,1
963e52fc,Easy,False,1
97999447,Easy,True,1
98cf29f8,Easy,True,1
995c5fa3,Easy,False,1
99fa7670,Easy,True,1
9af7a82c,Easy,False,1
9f236235,Easy,False,1
a1570a43,Easy,True,1
a2fd1cf0,Easy,True,1
a3df8b1e,Easy,True,1
a416b8f3,Easy,False,1
a48eeaf7,Easy,True,1
a5313dff,Easy,True,1
a5f85a15,Easy,True,1
a61ba2ce,Easy,False,1
a61f2674,Easy,True,1
a65b410d,Easy,True,1
a699fb00,Easy,True,1
a740d043,Easy,False,1
a79310a0,Easy,True,1
a85d4709,Easy,True,1
a87f7484,Easy,False,1
a8c38be5,Easy,False,1
aabf363d,Easy,True,1
aba27056,Easy,True,1
ac0a08a4,Easy,False,1
ae3edfdc,Easy,True,1
ae4f1146,Easy,False,1
aedd82e4,Easy,True,1
af902bf9,Easy,True,1
b1948b0a,Easy,True,1
b230c067,Easy,True,1
b27ca6d3,Easy,True,1
b2862040,Easy,True,1
b548a754,Easy,True,1
b60334d2,Easy,True,1
b6afb2da,Easy,True,1
b7249182,Easy,True,1
b782dc8a,Easy,True,1
b8825c91,Easy,True,1
b8cdaf2b,Easy,True,1
b94a9452,Easy,False,1
ba26e723,Easy,True,1
ba97ae07,Easy,True,1
bb43febb,Easy,True,1
bd4472b8,Easy,True,1
bda2d7a6,Easy,True,2
bdad9b1f,Easy,True,1
be94b721,Easy,False,1
beb8660c,Easy,True,1
c0f76784,Easy,True,1
c1d99e64,Easy,True,1
c3f564a4,Easy,True,1
c444b776,Easy,True,1
c59eb873,Easy,False,1
c8f0f002,Easy,True,1
c909285e,Easy,False,1
c9e6f938,Easy,False,1
c9f8e694,Easy,True,1
ce22a75a,Easy,True,1
d037b0a7,Easy,True,1
d06dbe63,Easy,True,1
d07ae81c,Easy,True,1
d0f5fe59,Easy,False,1
d10ecb37,Easy,False,1
d13f3404,Easy,False,1
d23f8c26,Easy,True,1
d364b489,Easy,True,1
d43fd935,Easy,True,1
d4469b4b,Easy,False,2
d4a91cb9,Easy,True,1
d4f3cd78,Easy,True,1
d511f180,Easy,True,1
d5d6de2d,Easy,True,2
d631b094,Easy,False,1
d687bc17,Easy,True,1
d6ad076f,Easy,True,1
d89b689b,Easy,True,1
d8c310e9,Easy,True,1
d90796e8,Easy,True,1
d9f24cd1,Easy,True,1
d9fac9be,Easy,False,1
dae9d2b5,Easy,False,2
db3e9e38,Easy,True,1
dc1df850,Easy,True,1
dc433765,Easy,True,2
ddf7fa4f,Easy,True,1
de1cd16c,Easy,False,1
ded97339,Easy,True,1
e179c5f4,Easy,True,1
e26a3af2,Easy,True,1
e5062a87,Easy,True,1
e509e548,Easy,True,1
e50d258f,Easy,False,1
e6721834,Easy,False,1
e73095fd,Easy,True,1
e76a88a6,Easy,True,1
e8593010,Easy,True,1
e8dc4411,Easy,True,1
e9614598,Easy,True,2
e98196ab,Easy,False,1
e9afcf9a,Easy,True,1
ea32f347,Easy,True,1
ea786f4a,Easy,True,1
eb5a1d5d,Easy,False,1
ec883f72,Easy,True,1
ef135b50,Easy,True,1
f1cefba8,Easy,True,1
f25ffba3,Easy,True,1
f5b8619d,Easy,False,1
f76d97a5,Easy,True,1
f8a8fe49,Easy,True,1
f8b3ba0a,Easy,False,1
f8ff0b80,Easy,False,1
fcb5c309,Easy,False,1
ff28f65a,Easy,False,3
00d62c1b,Medium,True,1
017c7c7b,Medium,False,1
0520fde7,Medium,False,1
09629e4f,Medium,True,1
0ca9ddb6,Medium,True,1
0dfd9992,Medium,True,1
0e206a2e,Medium,True,1
1b2d62fb,Medium,False,1
1b60fb0c,Medium,True,1
1caeab9d,Medium,True,1
2013d3e2,Medium,False,1
22168020,Medium,True,1
22233c11,Medium,True,1
239be575,Medium,False,2
25d8a9c8,Medium,True,1
264363fd,Medium,True,1
2bee17df,Medium,True,1
2c608aff,Medium,True,1
2dd70a9a,Medium,True,1
321b1fc6,Medium,True,1
3345333e,Medium,True,1
36d67576,Medium,True,1
3af2c5a8,Medium,False,1
3bd67248,Medium,True,1
3befdf3e,Medium,True,1
3c9b0459,Medium,True,1
3de23699,Medium,False,1
42a50994,Medium,True,1
469497ad,Medium,False,1
46f33fce,Medium,False,1
4938f0c2,Medium,True,1
49d1d64f,Medium,False,1
4be741c5,Medium,False,1
539a4f51,Medium,False,1
543a7ed5,Medium,True,1
57aa92db,Medium,True,1
5daaa586,Medium,False,1
62c24649,Medium,False,1
6430c8c4,Medium,False,1
6773b310,Medium,False,1
6d0160f0,Medium,True,1
6e82a1ae,Medium,True,1
72322fa7,Medium,True,1
7468f01a,Medium,False,1
760b3cac,Medium,True,1
77fdfe62,Medium,False,1
7b7f7511,Medium,False,1
7c008303,Medium,False,1
7df24a62,Medium,True,1
7fe24cdd,Medium,False,1
82819916,Medium,True,1
834ec97d,Medium,True,1
8731374e,Medium,False,1
88a62173,Medium,False,1
890034e9,Medium,True,1
8d510a79,Medium,True,1
8e5a5113,Medium,True,1
8efcae92,Medium,False,1
94f9d214,Medium,False,1
9565186b,Medium,True,1
97a05b5b,Medium,False,1
9d9215db,Medium,True,1
9dfd6313,Medium,True,1
a3325580,Medium,False,1
a64e4611,Medium,True,1
a68b268e,Medium,False,1
a78176bb,Medium,True,1
a8d7556c,Medium,True,1
a9f96cdd,Medium,True,1
b0c4d837,Medium,False,1
b527c5c6,Medium,True,1
b775ac94,Medium,True,1
b91ae062,Medium,False,1
bbc9ae5d,Medium,False,1
bc1d5164,Medium,False,1
c3e719e8,Medium,False,1
c8cbb738,Medium,False,1
cbded52d,Medium,True,1
cdecee7f,Medium,False,1
ce4f8723,Medium,False,1
ce602527,Medium,False,1
cf98881b,Medium,False,1
d22278a0,Medium,True,1
d2abd087,Medium,True,1
dbc1a6ce,Medium,True,1
e21d9049,Medium,True,1
e48d4e1a,Medium,True,1
eb281b96,Medium,False,1
ecdecbb3,Medium,True,1
ed36ccf7,Medium,True,1
f15e1fac,Medium,True,1
f25fbde4,Medium,False,1
f35d900a,Medium,True,1
f8c80d96,Medium,True,1
f9012d9b,Medium,False,1
fcc82909,Medium,True,1
234bbc79,Hard,False,1
27a28665,Hard,False,3
2bcee788,Hard,True,1
3428a4f5,Hard,False,2
3e980e27,Hard,True,1
447fd412,Hard,True,1
46442a0e,Hard,False,1
47c1f68c,Hard,False,1
484b58aa,Hard,True,1
50846271,Hard,True,1
63613498,Hard,True,1
6ecd11f4,Hard,False,1
73251a56,Hard,True,1
75b8110e,Hard,False,1
7837ac64,Hard,False,1
80af3007,Hard,False,1
91413438,Hard,False,1
99b1bc43,Hard,False,1
9ecd008a,Hard,False,1
9edfc990,Hard,True,1
b190f7f5,Hard,False,1
b9b7f026,Hard,False,1
caa06a1f,Hard,True,1
cce03e0d,Hard,False,1
ce9e57f2,Hard,True,1
d406998b,Hard,True,1
db93a21d,Hard,True,1
dc0a314f,Hard,False,1
e40b9e2f,Hard,True,1
f2829549,Hard,False,1
fafffa47,Hard,False,1
feca6190,Hard,False,1
ff805c23,Hard,False,1
007bbfb7,Expert,False,1
045e512c,Expert,True,1
10fcaaa3,Expert,False,1
1f0c79e5,Expert,True,1
3631a71a,Expert,True,1
4290ef0e,Expert,False,1
5c2c9af4,Expert,True,1
8f2ea7aa,Expert,True,1
9aec4887,Expert,False,1
e3497940,Expert,False,1
